Taxon	O1	O2	O3	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3	H1	H2	H3
No blast hit;Other;Other;Other;Other	0	0	0	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	0	0	5	5	2	0	0	0	0	0	0	9	3	13	4	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	1.5	2	1	0	0	0	2	0	0	0	0	0	128	77	24	25	5	0	1	0	0	0	0	0	7	4	1
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	388.5	531	246	620	421	341	406	379	348	132	62	45	377	407	1774	1551	1304	1242	651	70	1051	115	168	171	720	531	47
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	279.5	32	527	549	861	1294	409	178	234	254	826	360	160	131	777	205	132	105	293	61	84	162	228	208	423	672	404
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0	0	0	0	0	0	0	0	0	1	1	2	0	2	64	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	8	0	16	10	4	5	2	2	3	11	52	35	11	1	6	0	1	1	0	3	1	3	2	2	30	36	37
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae	0	0	0	0	0	0	0	0	0	0	0	0	13	47	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	318	1571	45	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	1	0	2	0	0	0	0	0	0	1	0	0	133	138	18	0	0	0	0	0	2	0	0	0	3	3	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	2.5	2	3	4	10	7	0	0	0	0	0	0	39	22	61	22	3	1	1	0	0	0	0	0	1	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Unclassified_Lactobacillales	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	707.5	604	811	2027	1212	1273	1703	1079	1905	1182	954	1292	2108	345	250	3371	2306	2595	5140	3641	3739	3947	4050	3570	2603	1878	2473
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	15875	16598	15152	9477	11325	9988	9307	7043	5523	3998	474	527	4559	3609	9981	5599	7728	6865	4342	1425	2884	5283	7451	7325	12037	13130	13833
