	Chao1	Shannon	Group
O1	671.01	5.44	0 days
O2	679.77	4.91	0 days
O3	681.65	5.4	0 days
A1	1111.42	6.75	3 days
A2	1203.18	7.11	3 days
A3	1248.53	7.39	3 days
B1	927.05	5.86	6 days
B2	877.93	5.9	6 days
B3	1023.19	6.13	6 days
C1	940.11	5.89	9 days
C2	579.13	5.42	9 days
C3	663.02	5.49	9 days
D1	893	7.13	12 days
D2	811.76	6.84	12 days
D3	766.51	6.02	12 days
E1	949.4	5.74	15 days
E2	952.62	5.84	15 days
E3	979.07	5.83	15 days
F1	941.6	5.77	18 days
F2	614.17	3.69	18 days
F3	934.15	5.09	18 days
G1	1035.08	6.45	21 days
G2	800	6.59	21 days
G3	882.71	5.94	21 days
H1	1114.24	6.01	24 days
H2	995.92	5.75	24 days
H3	963.08	5.62	24 days
